,Query,Score,Classification Match,Manual Classification,Interaction,Discipline,Issue,Agent Name
30,"As per telephonic conversation retailer is not getting supply from past 2 months, salesman left the job and he dosnt have distributor number",2.0,0,Complaint,Complaint,"[Classification<prediction: ""People"", confidence: 0.44436228, labels: {'Brand': LabelPrediction(confidence=0.0496734), 'People': LabelPrediction(confidence=0.44436228), 'Pricing': LabelPrediction(confidence=0.041177124), 'Product_Availability': LabelPrediction(confidence=0.07871495), 'Product_Foreign Body': LabelPrediction(confidence=0.020634454), 'Product_Generic': LabelPrediction(confidence=0.026856348), 'Product_Infestation': LabelPrediction(confidence=0.031699844), 'Product_Ingridients': LabelPrediction(confidence=0.030012835), 'Product_Packging': LabelPrediction(confidence=0.038559847), 'Product_Quality': LabelPrediction(confidence=0.025300384), 'Product_Sensory': LabelPrediction(confidence=0.027886081), 'Promotion': LabelPrediction(confidence=0.066100135), 'Service': LabelPrediction(confidence=0.11902232)}>]",Distributor not Supplying on time,Rustom
31,How .any days for delivery if ordered today???,73.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.34836537, labels: {'Brand': LabelPrediction(confidence=0.14030837), 'People': LabelPrediction(confidence=0.12048782), 'Pricing': LabelPrediction(confidence=0.07712822), 'Product_Availability': LabelPrediction(confidence=0.090845644), 'Product_Foreign Body': LabelPrediction(confidence=0.024929738), 'Product_Generic': LabelPrediction(confidence=0.017022576), 'Product_Infestation': LabelPrediction(confidence=0.023560962), 'Product_Ingridients': LabelPrediction(confidence=0.045854937), 'Product_Packging': LabelPrediction(confidence=0.022304798), 'Product_Quality': LabelPrediction(confidence=0.014724773), 'Product_Sensory': LabelPrediction(confidence=0.018196754), 'Promotion': LabelPrediction(confidence=0.056270048), 'Service': LabelPrediction(confidence=0.34836537)}>]",Unavailablity / Shortage,Akbar
32,"Hi good morning
Need a appointment with sales team I'm in ghanna now coming to India this month will confirm dates",23.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.2840742, labels: {'Brand': LabelPrediction(confidence=0.24801546), 'People': LabelPrediction(confidence=0.16631196), 'Pricing': LabelPrediction(confidence=0.04274874), 'Product_Availability': LabelPrediction(confidence=0.05147336), 'Product_Foreign Body': LabelPrediction(confidence=0.021849992), 'Product_Generic': LabelPrediction(confidence=0.013583276), 'Product_Infestation': LabelPrediction(confidence=0.023981588), 'Product_Ingridients': LabelPrediction(confidence=0.0368677), 'Product_Packging': LabelPrediction(confidence=0.01788827), 'Product_Quality': LabelPrediction(confidence=0.014971546), 'Product_Sensory': LabelPrediction(confidence=0.018437525), 'Promotion': LabelPrediction(confidence=0.059796367), 'Service': LabelPrediction(confidence=0.2840742)}>]",Collaboration With ITC,Rustom
33,"I am a food blogger featuring lko and had worked with many brads like 24X7 burger, Capoor & Sons, Neelkanth and a lot more kindly check my page @creatingfoodz if you are interested in promotions as well.",22.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.5532474, labels: {'Brand': LabelPrediction(confidence=0.5532474), 'People': LabelPrediction(confidence=0.038593814), 'Pricing': LabelPrediction(confidence=0.036980543), 'Product_Availability': LabelPrediction(confidence=0.027059222), 'Product_Foreign Body': LabelPrediction(confidence=0.030065006), 'Product_Generic': LabelPrediction(confidence=0.016683886), 'Product_Infestation': LabelPrediction(confidence=0.031830635), 'Product_Ingridients': LabelPrediction(confidence=0.05378686), 'Product_Packging': LabelPrediction(confidence=0.018083869), 'Product_Quality': LabelPrediction(confidence=0.023293328), 'Product_Sensory': LabelPrediction(confidence=0.028680112), 'Promotion': LabelPrediction(confidence=0.06257273), 'Service': LabelPrediction(confidence=0.079122595)}>]",Collaboration With ITC,Rustom
34,"This is to complain about the late delivery of my above order on Sept. 24th. By 3-4 hours!  I was in contact with Mr. Anish/Takeaway about this from Sept. 18th, and confirmed my requirement on the 21st evening. Pre-payment was completed 22nd evening, and final details agreed 23rd morning, for delivery to my residence 24th afternoon 3-4pm. However, on not receiving any update from you till 4:30pm on the 24th, I had to start ignoring our guests and chasing you, first Mr. Anish (who seemed to be off-duty and completely unaware of my order's status), and then desperately through your other phone Nos.  The cake, Raan, etc. finally arrived at 7pm!! By which time most of our guests, children and parents had already left our birthday party. As a result, a part of the cake is still in our fridge, unfinished.  Apologies were received by WhatsApp, and a card/box of chocolates with the delivery. Little consolation for the embarrassment our family went through, and are still feeling. After waiting a week for some further sign of regret from you (which has not come), I am hereby registering my formal complaint.   Late Sh. YC Deveshwar and I are alumni of the same institution (IIT-Delhi, he was senior to me). My family and I have loyalty to your group, my wedding events were held at ITC Maurya-Delhi in 1982, and over the decades we’ve regularly ordered from Fabelle, Bukhara and Peshawri in New Delhi, Chennai and Mumbai. However, after this last bad experience I wonder if we can rely on you again. Clearly my (pre-paid) order in your system was completely forgotten, and only began being processed after I followed-up on the 24th late afternoon!  A further issue is your charging Delivery Charges extra this time, which was earlier always included in bill amounts over 4-5k.  Therefore I expect you to immediately reverse your cake Invoice of Rs. 3,900/-, and Delivery Charges 500/-, and credit me Rs. 4,400/- against my next order, if you want me, my family and friends to continue feeling our old relationship with you. Otherwise I will circulate details of this shameful episode to your corporate offices, etc.  Kindly let me have your response today.  Regards.  Ismail Sait 2/294 Manthopu Salai, Uthandi, East Coast Road, Chennai-600119 (TN) Cell : +91-91766 27180 E-Mail : mailissait@gmail.com",2.0,0,Complaint,Complaint,"[Classification<prediction: ""People"", confidence: 0.33235726, labels: {'Brand': LabelPrediction(confidence=0.084391035), 'People': LabelPrediction(confidence=0.33235726), 'Pricing': LabelPrediction(confidence=0.04600203), 'Product_Availability': LabelPrediction(confidence=0.07466715), 'Product_Foreign Body': LabelPrediction(confidence=0.019258766), 'Product_Generic': LabelPrediction(confidence=0.024838967), 'Product_Infestation': LabelPrediction(confidence=0.021509517), 'Product_Ingridients': LabelPrediction(confidence=0.028091133), 'Product_Packging': LabelPrediction(confidence=0.0357316), 'Product_Quality': LabelPrediction(confidence=0.019953288), 'Product_Sensory': LabelPrediction(confidence=0.020223144), 'Promotion': LabelPrediction(confidence=0.05765664), 'Service': LabelPrediction(confidence=0.23531947)}>]",Distributor not Supplying on time,Vikram
35,The customer called us and requested for the distributorship of Aashirvaad Svasti Milk.,2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.4430582, labels: {'Brand': LabelPrediction(confidence=0.04946337), 'People': LabelPrediction(confidence=0.4430582), 'Pricing': LabelPrediction(confidence=0.042157523), 'Product_Availability': LabelPrediction(confidence=0.071650244), 'Product_Foreign Body': LabelPrediction(confidence=0.021620378), 'Product_Generic': LabelPrediction(confidence=0.027481783), 'Product_Infestation': LabelPrediction(confidence=0.033028435), 'Product_Ingridients': LabelPrediction(confidence=0.030475691), 'Product_Packging': LabelPrediction(confidence=0.03882459), 'Product_Quality': LabelPrediction(confidence=0.026355218), 'Product_Sensory': LabelPrediction(confidence=0.028542459), 'Promotion': LabelPrediction(confidence=0.06874151), 'Service': LabelPrediction(confidence=0.1186006)}>]",New Distributorship Request W / O Details,Rustom
36,"Retailer called and mention that, the customers are complaining for more salt in Bingo Potato Chips Salt Sprinkled. He requested for improvement",55.0,0,Complaint,Complaint,"[Classification<prediction: ""Product_Ingridients"", confidence: 0.23517156, labels: {'Brand': LabelPrediction(confidence=0.091127336), 'People': LabelPrediction(confidence=0.03291663), 'Pricing': LabelPrediction(confidence=0.048441723), 'Product_Availability': LabelPrediction(confidence=0.059484277), 'Product_Foreign Body': LabelPrediction(confidence=0.046872165), 'Product_Generic': LabelPrediction(confidence=0.031763617), 'Product_Infestation': LabelPrediction(confidence=0.0360632), 'Product_Ingridients': LabelPrediction(confidence=0.23517156), 'Product_Packging': LabelPrediction(confidence=0.030522054), 'Product_Quality': LabelPrediction(confidence=0.09384802), 'Product_Sensory': LabelPrediction(confidence=0.18955672), 'Promotion': LabelPrediction(confidence=0.055839736), 'Service': LabelPrediction(confidence=0.048392963)}>]",Taste / Flavour,Vikram
37,As per the telephonic conversation the customer had bought 5 KGs of Aashirvaad Select Sharbati Atta. When he opened the packet he found worms in Atta. He will share the image of the product details via Whatsapp by today.,80.0,0,Complaint,Complaint,"[Classification<prediction: ""Product_Infestation"", confidence: 0.6163245, labels: {'Brand': LabelPrediction(confidence=0.022509709), 'People': LabelPrediction(confidence=0.019139068), 'Pricing': LabelPrediction(confidence=0.020635517), 'Product_Availability': LabelPrediction(confidence=0.020245422), 'Product_Foreign Body': LabelPrediction(confidence=0.12291147), 'Product_Generic': LabelPrediction(confidence=0.025813762), 'Product_Infestation': LabelPrediction(confidence=0.6163245), 'Product_Ingridients': LabelPrediction(confidence=0.024013566), 'Product_Packging': LabelPrediction(confidence=0.023122253), 'Product_Quality': LabelPrediction(confidence=0.03259617), 'Product_Sensory': LabelPrediction(confidence=0.03301217), 'Promotion': LabelPrediction(confidence=0.021186393), 'Service': LabelPrediction(confidence=0.018490031)}>]",Worms,Rustom
38,customer called us requesting for supply of all ITC products to his shop,43.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.35164997, labels: {'Brand': LabelPrediction(confidence=0.1502249), 'People': LabelPrediction(confidence=0.15485807), 'Pricing': LabelPrediction(confidence=0.050164483), 'Product_Availability': LabelPrediction(confidence=0.074014165), 'Product_Foreign Body': LabelPrediction(confidence=0.02532877), 'Product_Generic': LabelPrediction(confidence=0.016483251), 'Product_Infestation': LabelPrediction(confidence=0.025186542), 'Product_Ingridients': LabelPrediction(confidence=0.04128632), 'Product_Packging': LabelPrediction(confidence=0.022623248), 'Product_Quality': LabelPrediction(confidence=0.015772782), 'Product_Sensory': LabelPrediction(confidence=0.019139823), 'Promotion': LabelPrediction(confidence=0.053267684), 'Service': LabelPrediction(confidence=0.35164997)}>]",Wholesale / Bulk Order,Anthony
39,"Dear sir, I am from siwan. bihar. Have you any vacancy for distributorship in siwan or gopalganj.",2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.4400649, labels: {'Brand': LabelPrediction(confidence=0.050412145), 'People': LabelPrediction(confidence=0.4400649), 'Pricing': LabelPrediction(confidence=0.043580435), 'Product_Availability': LabelPrediction(confidence=0.067251205), 'Product_Foreign Body': LabelPrediction(confidence=0.0213284), 'Product_Generic': LabelPrediction(confidence=0.029172119), 'Product_Infestation': LabelPrediction(confidence=0.032156073), 'Product_Ingridients': LabelPrediction(confidence=0.031057656), 'Product_Packging': LabelPrediction(confidence=0.041009538), 'Product_Quality': LabelPrediction(confidence=0.026890535), 'Product_Sensory': LabelPrediction(confidence=0.028538635), 'Promotion': LabelPrediction(confidence=0.077271976), 'Service': LabelPrediction(confidence=0.111266375)}>]",New Distributorship Request W / O Details,Anthony
40,The Retailer called us and requested for the Supply of Aashirvaad Atta,43.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.3533527, labels: {'Brand': LabelPrediction(confidence=0.1374034), 'People': LabelPrediction(confidence=0.16899922), 'Pricing': LabelPrediction(confidence=0.050178025), 'Product_Availability': LabelPrediction(confidence=0.075184196), 'Product_Foreign Body': LabelPrediction(confidence=0.024203068), 'Product_Generic': LabelPrediction(confidence=0.01641601), 'Product_Infestation': LabelPrediction(confidence=0.024110783), 'Product_Ingridients': LabelPrediction(confidence=0.039907962), 'Product_Packging': LabelPrediction(confidence=0.023131672), 'Product_Quality': LabelPrediction(confidence=0.015278318), 'Product_Sensory': LabelPrediction(confidence=0.018371673), 'Promotion': LabelPrediction(confidence=0.053462982), 'Service': LabelPrediction(confidence=0.3533527)}>]",Wholesale / Bulk Order,Akbar
41,Customer wants to get supply of Homelite matchbox for his shop.,43.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.34568134, labels: {'Brand': LabelPrediction(confidence=0.14125958), 'People': LabelPrediction(confidence=0.17999876), 'Pricing': LabelPrediction(confidence=0.048304014), 'Product_Availability': LabelPrediction(confidence=0.07075393), 'Product_Foreign Body': LabelPrediction(confidence=0.023568826), 'Product_Generic': LabelPrediction(confidence=0.01622522), 'Product_Infestation': LabelPrediction(confidence=0.02416413), 'Product_Ingridients': LabelPrediction(confidence=0.038752314), 'Product_Packging': LabelPrediction(confidence=0.022639433), 'Product_Quality': LabelPrediction(confidence=0.015342213), 'Product_Sensory': LabelPrediction(confidence=0.018466493), 'Promotion': LabelPrediction(confidence=0.05484376), 'Service': LabelPrediction(confidence=0.34568134)}>]",Wholesale / Bulk Order,Rustom
42,"hello can i ask, Do you have distributer of ur products here in davao city?",2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.42500618, labels: {'Brand': LabelPrediction(confidence=0.06511531), 'People': LabelPrediction(confidence=0.42500618), 'Pricing': LabelPrediction(confidence=0.040595204), 'Product_Availability': LabelPrediction(confidence=0.06874077), 'Product_Foreign Body': LabelPrediction(confidence=0.019465344), 'Product_Generic': LabelPrediction(confidence=0.02184495), 'Product_Infestation': LabelPrediction(confidence=0.027232714), 'Product_Ingridients': LabelPrediction(confidence=0.029587917), 'Product_Packging': LabelPrediction(confidence=0.030878237), 'Product_Quality': LabelPrediction(confidence=0.02100616), 'Product_Sensory': LabelPrediction(confidence=0.023431677), 'Promotion': LabelPrediction(confidence=0.06215116), 'Service': LabelPrediction(confidence=0.16494438)}>]",New Distributorship Request W / O Details,Vijay
43,"Consumer called & complained saying the Aashirvaad Whole Wheat Atta which he bought every time from near by store is not like the regular one. He assumes it to be a Maida mix as the chapattis made of it are dry and hard to eat, whitish in color & too stretchy.",55.0,0,Complaint,Complaint,"[Classification<prediction: ""Product_Sensory"", confidence: 0.38468394, labels: {'Brand': LabelPrediction(confidence=0.02329698), 'People': LabelPrediction(confidence=0.021866057), 'Pricing': LabelPrediction(confidence=0.02183707), 'Product_Availability': LabelPrediction(confidence=0.030163256), 'Product_Foreign Body': LabelPrediction(confidence=0.028673267), 'Product_Generic': LabelPrediction(confidence=0.050884314), 'Product_Infestation': LabelPrediction(confidence=0.024645556), 'Product_Ingridients': LabelPrediction(confidence=0.04067664), 'Product_Packging': LabelPrediction(confidence=0.028640803), 'Product_Quality': LabelPrediction(confidence=0.30818474), 'Product_Sensory': LabelPrediction(confidence=0.38468394), 'Promotion': LabelPrediction(confidence=0.018806662), 'Service': LabelPrediction(confidence=0.01764071)}>]",Taste / Flavour,Amar
44,The Retailer called us and requested for the Supply of all ITC Food Products,43.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.34934592, labels: {'Brand': LabelPrediction(confidence=0.13969785), 'People': LabelPrediction(confidence=0.1754951), 'Pricing': LabelPrediction(confidence=0.048370976), 'Product_Availability': LabelPrediction(confidence=0.0736763), 'Product_Foreign Body': LabelPrediction(confidence=0.023713829), 'Product_Generic': LabelPrediction(confidence=0.016268542), 'Product_Infestation': LabelPrediction(confidence=0.023955964), 'Product_Ingridients': LabelPrediction(confidence=0.039485443), 'Product_Packging': LabelPrediction(confidence=0.023119776), 'Product_Quality': LabelPrediction(confidence=0.015186122), 'Product_Sensory': LabelPrediction(confidence=0.018272895), 'Promotion': LabelPrediction(confidence=0.05341128), 'Service': LabelPrediction(confidence=0.34934592)}>]",Wholesale / Bulk Order,Anthony
45,Customer called and enquired about wheat (bhusi) related he wants to buy wheat wastage.,72.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.21417685, labels: {'Brand': LabelPrediction(confidence=0.06386171), 'People': LabelPrediction(confidence=0.21417685), 'Pricing': LabelPrediction(confidence=0.052939545), 'Product_Availability': LabelPrediction(confidence=0.044768997), 'Product_Foreign Body': LabelPrediction(confidence=0.027152494), 'Product_Generic': LabelPrediction(confidence=0.12450956), 'Product_Infestation': LabelPrediction(confidence=0.024991741), 'Product_Ingridients': LabelPrediction(confidence=0.042288426), 'Product_Packging': LabelPrediction(confidence=0.08684439), 'Product_Quality': LabelPrediction(confidence=0.051750872), 'Product_Sensory': LabelPrediction(confidence=0.038781155), 'Promotion': LabelPrediction(confidence=0.082435936), 'Service': LabelPrediction(confidence=0.14549832)}>]",Quantity Reduced,Anthony
46,"I want to start the distribution in thane area (thane, mira road, kalyan , diva etc)",2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.43433514, labels: {'Brand': LabelPrediction(confidence=0.054385558), 'People': LabelPrediction(confidence=0.43433514), 'Pricing': LabelPrediction(confidence=0.040160153), 'Product_Availability': LabelPrediction(confidence=0.07500651), 'Product_Foreign Body': LabelPrediction(confidence=0.018278264), 'Product_Generic': LabelPrediction(confidence=0.023073798), 'Product_Infestation': LabelPrediction(confidence=0.024827516), 'Product_Ingridients': LabelPrediction(confidence=0.0285092), 'Product_Packging': LabelPrediction(confidence=0.034511764), 'Product_Quality': LabelPrediction(confidence=0.019896097), 'Product_Sensory': LabelPrediction(confidence=0.021835497), 'Promotion': LabelPrediction(confidence=0.0697178), 'Service': LabelPrediction(confidence=0.15546268)}>]",New Distributorship Request W / O Details,Vijay
